"project_name","bug_id","buggy_commit_id","fixed_commit_id","buggy_files","fixed_files","diff_commands","test_file_bug_info","test_file_description"
"fastapi","14","2ddb804940bbcad4ed730b2a910c8fd3c1167127","b7d184363fad5f6b55d15ec3a3a844aa81092bbd","fastapi/openapi/models.py","fastapi/openapi/models.py","diff --git a/fastapi/openapi/models.py b/fastapi/openapi/models.py","tests/test_additional_properties.py",""
"fastapi","3","869c7389e22dc9ad659940fa271da76c4f3ba3b1","aea04ee32ee1942e6e1a904527bb8da6ba76abd9","fastapi/routing.py","fastapi/routing.py","diff --git a/fastapi/routing.py b/fastapi/routing.py","tests/test_serialize_response_model.py",""
"fastapi","16","92c825be6a7362099400c9c3fe8b01ea13add3dc","9745a5d1ae86a7fefacf79bdde8e5dd2d59fa2f4","fastapi/encoders.py","fastapi/encoders.py","diff --git a/fastapi/encoders.py b/fastapi/encoders.py","tests/test_datetime_custom_encoder.py;tests/test_jsonable_encoder.py",""
"fastapi","2","210af1fd3dc0f612a08fa02a0cb3f5adb81e5bfb","02441ff0313d5b471b662293244c53e712f1243f","fastapi/routing.py","fastapi/routing.py","diff --git a/fastapi/routing.py b/fastapi/routing.py","tests/test_ws_router.py",""
"fastapi","8","fdb6d43e103bcf7a7325d796e37c9435c9460e4c","dd963511d699b463b416408a0ad705b3dda0d067","fastapi/routing.py","fastapi/routing.py","diff --git a/fastapi/routing.py b/fastapi/routing.py","tests/test_custom_route_class.py",""
"fastapi","1","766157bfb4e7dfccba09ab398e8ec444d14e947c","3397d4d69a9c2d64c1219fcbf291ea5697a4abb8","fastapi/applications.py;fastapi/encoders.py;fastapi/openapi/utils.py;fastapi/routing.py;tests/test_skip_defaults.py","fastapi/applications.py;fastapi/encoders.py;fastapi/openapi/utils.py;fastapi/routing.py;tests/test_skip_defaults.py","diff --git a/fastapi/applications.py b/fastapi/applications.py;diff --git a/fastapi/encoders.py b/fastapi/encoders.py;diff --git a/fastapi/openapi/utils.py b/fastapi/openapi/utils.py;diff --git a/fastapi/routing.py b/fastapi/routing.py;diff --git a/tests/test_skip_defaults.py b/tests/test_skip_defaults.py","tests/test_jsonable_encoder.py",""
"fastapi","7","cc4c13e4ae3f65fc76c23962b316df4a60e0c7e0","19c77e35bdde33aeec1eb2cfa680f95016492b69","fastapi/exception_handlers.py","fastapi/exception_handlers.py","diff --git a/fastapi/exception_handlers.py b/fastapi/exception_handlers.py","tests/test_multi_body_errors.py",""
"fastapi","10","b77a43bcac3ec8e7edbe82543e777c60ae85c178","38495fffa560fa57a8f0e6437d8e43c36c8e5612","fastapi/routing.py","fastapi/routing.py","diff --git a/fastapi/routing.py b/fastapi/routing.py","tests/test_skip_defaults.py",""
"fastapi","13","6f7f9268f6b03f42831dcfeaa5c15ba9813333ec","c8df3ae57c57e119d115dd3c1f44efa78de1022a","fastapi/routing.py","fastapi/routing.py","diff --git a/fastapi/routing.py b/fastapi/routing.py","tests/test_additional_responses_router.py",""
"fastapi","9","a7a92bc63768ccee3f3afc2b73b2c581928dfe75","c5817912d2be25bb310bf9da517882f57bbe7bb5","fastapi/dependencies/utils.py","fastapi/dependencies/utils.py","diff --git a/fastapi/dependencies/utils.py b/fastapi/dependencies/utils.py","tests/test_request_body_parameters_media_type.py",""
"fastapi","15","b16ca54c30644667ab9f65a712704850666a039c","6d77e2ac5f2cadc63424f2d85d8d8cded2975922","fastapi/routing.py","fastapi/routing.py","diff --git a/fastapi/routing.py b/fastapi/routing.py","tests/test_ws_router.py",""
"fastapi","11","bf229ad5d830eb5320f966d51a55e590e8d57008","06eb4219345a77d23484528c9d164eb8d2097fec","fastapi/dependencies/utils.py","fastapi/dependencies/utils.py","diff --git a/fastapi/dependencies/utils.py b/fastapi/dependencies/utils.py","tests/test_union_body.py;tests/test_union_inherited_body.py",""
"fastapi","6","5db99a27cf640864b4793807811848698c5ff4a2","874d24181e779ebc6e1c52afb7d6598f863fd6a8","fastapi/dependencies/utils.py","fastapi/dependencies/utils.py","diff --git a/fastapi/dependencies/utils.py b/fastapi/dependencies/utils.py","tests/test_forms_from_non_typing_sequences.py",""
"fastapi","12","d61f5e4b555b123bf222503fc0e076cbae6a7ebc","d262f6e9296993e528e2327f0a73f7bf5514e7c6","fastapi/security/http.py","fastapi/security/http.py","diff --git a/fastapi/security/http.py b/fastapi/security/http.py","tests/test_security_http_bearer_optional.py",""
"fastapi","4","7ccd81f70653857bd8f3a15ee946aa3fb0edc2cb","74c4d1c1dbe6bfdb05d6e4fc767ffe062398f0a3","fastapi/openapi/utils.py","fastapi/openapi/utils.py","diff --git a/fastapi/openapi/utils.py b/fastapi/openapi/utils.py","tests/test_param_in_path_and_dependency.py",""
"fastapi","5","7cea84b74ca3106a7f861b774e9d215e5228728f","75a07f24bf01a31225ee687f3e2b3fc1981b67ab","fastapi/utils.py","fastapi/utils.py","diff --git a/fastapi/utils.py b/fastapi/utils.py","tests/test_filter_pydantic_sub_model.py",""
"PySnooper","3","6e3d797be3fa0a746fb5b1b7c7fea78eb926c208","15555ed760000b049aff8fecc79d29339c1224c3","pysnooper/pysnooper.py","pysnooper/pysnooper.py","diff --git a/pysnooper/pysnooper.py b/pysnooper/pysnooper.py","tests/test_pysnooper.py",""
"PySnooper","2","e21a31162f4c54be693d8ca8260e42393b39abd3","814abc34a098c1b98cb327105ac396f985d2413e","pysnooper/tracer.py","pysnooper/tracer.py","diff --git a/pysnooper/tracer.py b/pysnooper/tracer.py","tests/test_pysnooper.py",""
"PySnooper","1","e21a31162f4c54be693d8ca8260e42393b39abd3","56f22f8ffe1c6b2be4d2cf3ad1987fdb66113da2","pysnooper/pycompat.py;pysnooper/tracer.py;tests/utils.py","pysnooper/pycompat.py;pysnooper/tracer.py;tests/utils.py","diff --git a/pysnooper/pycompat.py b/pysnooper/pycompat.py;diff --git a/pysnooper/tracer.py b/pysnooper/tracer.py;diff --git a/tests/utils.py b/tests/utils.py","tests/test_chinese.py",""
"tornado","14","81ee310adcd905fbdf7c98d9fb6ef0c5a46026c2","1d02ed606f1c52636462633d009bdcbaac644331","tornado/ioloop.py","tornado/ioloop.py","diff --git a/tornado/ioloop.py b/tornado/ioloop.py","tornado/test/ioloop_test.py",""
"tornado","3","940fd87fe9145d1154c8457221f86d56ea063c65","aa622e724f80e0f7fcee369f75d69d1db13d72f2","tornado/httpclient.py","tornado/httpclient.py","diff --git a/tornado/httpclient.py b/tornado/httpclient.py","tornado/test/httpclient_test.py",""
"tornado","16","b450ff270df0395ee80f4ee5896a92bfe7f9b6ae","d1676810ef5972c4defb0a710a1d8f8a0018983b","tornado/gen.py","tornado/gen.py","diff --git a/tornado/gen.py b/tornado/gen.py","tornado/test/gen_test.py",""
"tornado","2","2ca8821d006f6693f920a4b183a3a7c985a5c8ad","4f486a4aec746e9d66441600ee3b0743228b061c","tornado/http1connection.py","tornado/http1connection.py","diff --git a/tornado/http1connection.py b/tornado/http1connection.py","tornado/test/httpclient_test.py",""
"tornado","8","34c43f4775971ab9b2b8ed43356f218add6387b2","5d4a9ab26372efd255bbb29fde55c41395ed17b1","tornado/websocket.py","tornado/websocket.py","diff --git a/tornado/websocket.py b/tornado/websocket.py","tornado/test/websocket_test.py",""
"tornado","1","6a5a0bfa370b6c0d3dbbf9589a560a98202d2baa","4677c54cc18bbfbdf0f4dadf11610fab6203fd63","tornado/websocket.py","tornado/websocket.py","diff --git a/tornado/websocket.py b/tornado/websocket.py","tornado/test/websocket_test.py",""
"tornado","7","fa3409179588536f2f743d16e537f6f9827fa92f","a3b44cd701e0e82693363701bc0346b0125d2362","tornado/ioloop.py","tornado/ioloop.py","diff --git a/tornado/ioloop.py b/tornado/ioloop.py","tornado/test/ioloop_test.py",""
"tornado","10","ecd8968c5135b810cd607b5902dda2cd32122b39","5931d913b4ea250891a0b582f1f8b2901b868c79","tornado/web.py;tornado/websocket.py","tornado/web.py;tornado/websocket.py","diff --git a/tornado/web.py b/tornado/web.py;diff --git a/tornado/websocket.py b/tornado/websocket.py","tornado/test/websocket_test.py",""
